,Year,Month,Jurisdiction,Number,Time
516,1994,October,Saskatchewan,10.0,1994-10-01
465,1994,October,Nova Scotia,22.0,1994-10-01
485,1994,October,Ontario,27.0,1994-10-01
458,1994,October,Newfoundland and Labrador,1.0,1994-10-01
450,1994,October,New Brunswick,137.0,1994-10-01
3258,1994,October,Canada,357.0,1994-10-01
420,1994,October,Alberta,25.0,1994-10-01
504,1994,October,Prince Edward Island,4.0,1994-10-01
475,1994,October,Northwest Territories,8.0,1994-10-01
431,1994,October,British Columbia,70.0,1994-10-01
507,1994,October,Quebec,46.0,1994-10-01
421,1994,November,Alberta,30.0,1994-11-01
432,1994,November,British Columbia,1.0,1994-11-01
508,1994,November,Quebec,7.0,1994-11-01
442,1994,November,Manitoba,1.0,1994-11-01
451,1994,November,New Brunswick,22.0,1994-11-01
3257,1994,November,Canada,90.0,1994-11-01
466,1994,November,Nova Scotia,14.0,1994-11-01
476,1994,November,Northwest Territories,1.0,1994-11-01
486,1994,November,Ontario,7.0,1994-11-01
503,1994,November,Prince Edward Island,7.0,1994-11-01
422,1994,December,Alberta,9.0,1994-12-01
477,1994,December,Northwest Territories,1.0,1994-12-01
496,1994,December,Prince Edward Island,0.0,1994-12-01
3250,1994,December,Canada,10.0,1994-12-01
541,1995,January,British Columbia,5.0,1995-01-01
603,1995,January,Prince Edward Island,0.0,1995-01-01
530,1995,January,Alberta,10.0,1995-01-01
3265,1995,January,Canada,15.0,1995-01-01
602,1995,February,Prince Edward Island,0.0,1995-02-01
544,1995,February,British Columbia,5.0,1995-02-01
533,1995,February,Alberta,6.0,1995-02-01
3264,1995,February,Canada,11.0,1995-02-01
534,1995,March,Alberta,29.0,1995-03-01
575,1995,March,Nova Scotia,28.0,1995-03-01
3268,1995,March,Canada,265.0,1995-03-01
632,1995,March,Yukon,1.0,1995-03-01
606,1995,March,Prince Edward Island,0.0,1995-03-01
592,1995,March,Ontario,137.0,1995-03-01
614,1995,March,Quebec,9.0,1995-03-01
545,1995,March,British Columbia,61.0,1995-03-01
553,1995,April,Manitoba,13.0,1995-04-01
3261,1995,April,Canada,538.0,1995-04-01
615,1995,April,Quebec,33.0,1995-04-01
561,1995,April,New Brunswick,28.0,1995-04-01
633,1995,April,Yukon,4.0,1995-04-01
535,1995,April,Alberta,57.0,1995-04-01
546,1995,April,British Columbia,181.0,1995-04-01
567,1995,April,Newfoundland and Labrador,3.0,1995-04-01
599,1995,April,Prince Edward Island,0.0,1995-04-01
593,1995,April,Ontario,128.0,1995-04-01
584,1995,April,Northwest Territories,1.0,1995-04-01
576,1995,April,Nova Scotia,80.0,1995-04-01
624,1995,April,Saskatchewan,10.0,1995-04-01
536,1995,May,Alberta,215.0,1995-05-01
554,1995,May,Manitoba,154.0,1995-05-01
634,1995,May,Yukon,31.0,1995-05-01
3269,1995,May,Canada,1581.0,1995-05-01
547,1995,May,British Columbia,316.0,1995-05-01
625,1995,May,Saskatchewan,222.0,1995-05-01
585,1995,May,Northwest Territories,24.0,1995-05-01
594,1995,May,Ontario,230.0,1995-05-01
568,1995,May,Newfoundland and Labrador,23.0,1995-05-01
577,1995,May,Nova Scotia,145.0,1995-05-01
607,1995,May,Prince Edward Island,11.0,1995-05-01
616,1995,May,Quebec,139.0,1995-05-01
562,1995,May,New Brunswick,71.0,1995-05-01
626,1995,June,Saskatchewan,283.0,1995-06-01
586,1995,June,Northwest Territories,79.0,1995-06-01
595,1995,June,Ontario,900.0,1995-06-01
569,1995,June,Newfoundland and Labrador,20.0,1995-06-01
537,1995,June,Alberta,272.0,1995-06-01
605,1995,June,Prince Edward Island,2.0,1995-06-01
563,1995,June,New Brunswick,116.0,1995-06-01
548,1995,June,British Columbia,281.0,1995-06-01
3267,1995,June,Canada,2896.0,1995-06-01
578,1995,June,Nova Scotia,49.0,1995-06-01
617,1995,June,Quebec,470.0,1995-06-01
555,1995,June,Manitoba,344.0,1995-06-01
635,1995,June,Yukon,80.0,1995-06-01
579,1995,July,Nova Scotia,26.0,1995-07-01
627,1995,July,Saskatchewan,85.0,1995-07-01
587,1995,July,Northwest Territories,56.0,1995-07-01
570,1995,July,Newfoundland and Labrador,14.0,1995-07-01
556,1995,July,Manitoba,90.0,1995-07-01
596,1995,July,Ontario,150.0,1995-07-01
618,1995,July,Quebec,170.0,1995-07-01
549,1995,July,British Columbia,277.0,1995-07-01
3266,1995,July,Canada,1079.0,1995-07-01
564,1995,July,New Brunswick,89.0,1995-07-01
604,1995,July,Prince Edward Island,3.0,1995-07-01
636,1995,July,Yukon,22.0,1995-07-01
538,1995,July,Alberta,97.0,1995-07-01
580,1995,August,Nova Scotia,36.0,1995-08-01
565,1995,August,New Brunswick,156.0,1995-08-01
628,1995,August,Saskatchewan,18.0,1995-08-01
637,1995,August,Yukon,6.0,1995-08-01
588,1995,August,Northwest Territories,47.0,1995-08-01
539,1995,August,Alberta,26.0,1995-08-01
557,1995,August,Manitoba,28.0,1995-08-01
597,1995,August,Ontario,442.0,1995-08-01
550,1995,August,British Columbia,90.0,1995-08-01
600,1995,August,Prince Edward Island,7.0,1995-08-01
619,1995,August,Quebec,367.0,1995-08-01
571,1995,August,Newfoundland and Labrador,23.0,1995-08-01
3262,1995,August,Canada,1246.0,1995-08-01
3272,1995,September,Canada,633.0,1995-09-01
558,1995,September,Manitoba,12.0,1995-09-01
581,1995,September,Nova Scotia,37.0,1995-09-01
598,1995,September,Ontario,125.0,1995-09-01
566,1995,September,New Brunswick,74.0,1995-09-01
551,1995,September,British Columbia,238.0,1995-09-01
572,1995,September,Newfoundland and Labrador,3.0,1995-09-01
610,1995,September,Prince Edward Island,4.0,1995-09-01
629,1995,September,Saskatchewan,20.0,1995-09-01
620,1995,September,Quebec,53.0,1995-09-01
638,1995,September,Yukon,2.0,1995-09-01
540,1995,September,Alberta,58.0,1995-09-01
589,1995,September,Northwest Territories,7.0,1995-09-01
621,1995,October,Saskatchewan,9.0,1995-10-01
3271,1995,October,Canada,155.0,1995-10-01
552,1995,October,Manitoba,21.0,1995-10-01
559,1995,October,New Brunswick,11.0,1995-10-01
612,1995,October,Quebec,23.0,1995-10-01
531,1995,October,Alberta,33.0,1995-10-01
542,1995,October,British Columbia,15.0,1995-10-01
609,1995,October,Prince Edward Island,2.0,1995-10-01
582,1995,October,Northwest Territories,1.0,1995-10-01
590,1995,October,Ontario,36.0,1995-10-01
573,1995,October,Nova Scotia,4.0,1995-10-01
622,1995,November,Saskatchewan,3.0,1995-11-01
543,1995,November,British Columbia,5.0,1995-11-01
613,1995,November,Quebec,1.0,1995-11-01
583,1995,November,Northwest Territories,3.0,1995-11-01
631,1995,November,Yukon,1.0,1995-11-01
532,1995,November,Alberta,5.0,1995-11-01
3270,1995,November,Canada,24.0,1995-11-01
608,1995,November,Prince Edward Island,0.0,1995-11-01
560,1995,November,New Brunswick,2.0,1995-11-01
574,1995,November,Nova Scotia,2.0,1995-11-01
591,1995,November,Ontario,2.0,1995-11-01
601,1995,December,Prince Edward Island,0.0,1995-12-01
3263,1995,December,Canada,1.0,1995-12-01
623,1995,December,Saskatchewan,1.0,1995-12-01
639,1996,January,Alberta,1.0,1996-01-01
729,1996,January,Saskatchewan,1.0,1996-01-01
3278,1996,January,Canada,7.0,1996-01-01
712,1996,January,Prince Edward Island,0.0,1996-01-01
650,1996,January,British Columbia,5.0,1996-01-01
731,1996,February,Saskatchewan,1.0,1996-02-01
3277,1996,February,Canada,4.0,1996-02-01
711,1996,February,Prince Edward Island,0.0,1996-02-01
654,1996,February,British Columbia,3.0,1996-02-01
643,1996,March,Alberta,1.0,1996-03-01
715,1996,March,Prince Edward Island,0.0,1996-03-01
672,1996,March,New Brunswick,1.0,1996-03-01
701,1996,March,Ontario,7.0,1996-03-01
687,1996,March,Nova Scotia,55.0,1996-03-01
3281,1996,March,Canada,97.0,1996-03-01
655,1996,March,British Columbia,31.0,1996-03-01
738,1996,March,Yukon,2.0,1996-03-01
694,1996,April,Northwest Territories,1.0,1996-04-01
739,1996,April,Yukon,2.0,1996-04-01
680,1996,April,Newfoundland and Labrador,13.0,1996-04-01
702,1996,April,Ontario,30.0,1996-04-01
3274,1996,April,Canada,235.0,1996-04-01
656,1996,April,British Columbia,60.0,1996-04-01
732,1996,April,Saskatchewan,6.0,1996-04-01
673,1996,April,New Brunswick,26.0,1996-04-01
708,1996,April,Prince Edward Island,0.0,1996-04-01
688,1996,April,Nova Scotia,65.0,1996-04-01
664,1996,April,Manitoba,1.0,1996-04-01
723,1996,April,Quebec,5.0,1996-04-01
644,1996,April,Alberta,26.0,1996-04-01
645,1996,May,Alberta,56.0,1996-05-01
657,1996,May,British Columbia,82.0,1996-05-01
681,1996,May,Newfoundland and Labrador,23.0,1996-05-01
695,1996,May,Northwest Territories,11.0,1996-05-01
3282,1996,May,Canada,875.0,1996-05-01
733,1996,May,Saskatchewan,62.0,1996-05-01
724,1996,May,Quebec,163.0,1996-05-01
716,1996,May,Prince Edward Island,0.0,1996-05-01
689,1996,May,Nova Scotia,66.0,1996-05-01
674,1996,May,New Brunswick,75.0,1996-05-01
703,1996,May,Ontario,241.0,1996-05-01
740,1996,May,Yukon,19.0,1996-05-01
665,1996,May,Manitoba,77.0,1996-05-01
3280,1996,June,Canada,2221.0,1996-06-01
666,1996,June,Manitoba,103.0,1996-06-01
696,1996,June,Northwest Territories,182.0,1996-06-01
646,1996,June,Alberta,124.0,1996-06-01
741,1996,June,Yukon,72.0,1996-06-01
734,1996,June,Saskatchewan,123.0,1996-06-01
682,1996,June,Newfoundland and Labrador,12.0,1996-06-01
675,1996,June,New Brunswick,129.0,1996-06-01
714,1996,June,Prince Edward Island,0.0,1996-06-01
690,1996,June,Nova Scotia,45.0,1996-06-01
704,1996,June,Ontario,570.0,1996-06-01
658,1996,June,British Columbia,155.0,1996-06-01
725,1996,June,Quebec,706.0,1996-06-01
659,1996,July,British Columbia,452.0,1996-07-01
3279,1996,July,Canada,1312.0,1996-07-01
647,1996,July,Alberta,89.0,1996-07-01
667,1996,July,Manitoba,155.0,1996-07-01
676,1996,July,New Brunswick,11.0,1996-07-01
705,1996,July,Ontario,198.0,1996-07-01
683,1996,July,Newfoundland and Labrador,4.0,1996-07-01
691,1996,July,Nova Scotia,9.0,1996-07-01
742,1996,July,Yukon,44.0,1996-07-01
697,1996,July,Northwest Territories,134.0,1996-07-01
735,1996,July,Saskatchewan,161.0,1996-07-01
713,1996,July,Prince Edward Island,0.0,1996-07-01
726,1996,July,Quebec,55.0,1996-07-01
660,1996,August,British Columbia,489.0,1996-08-01
677,1996,August,New Brunswick,74.0,1996-08-01
684,1996,August,Newfoundland and Labrador,48.0,1996-08-01
692,1996,August,Nova Scotia,20.0,1996-08-01
698,1996,August,Northwest Territories,22.0,1996-08-01
668,1996,August,Manitoba,59.0,1996-08-01
706,1996,August,Ontario,144.0,1996-08-01
709,1996,August,Prince Edward Island,0.0,1996-08-01
3275,1996,August,Canada,1201.0,1996-08-01
743,1996,August,Yukon,7.0,1996-08-01
727,1996,August,Quebec,209.0,1996-08-01
736,1996,August,Saskatchewan,53.0,1996-08-01
648,1996,August,Alberta,76.0,1996-08-01
693,1996,September,Nova Scotia,7.0,1996-09-01
737,1996,September,Saskatchewan,15.0,1996-09-01
3285,1996,September,Canada,337.0,1996-09-01
669,1996,September,Manitoba,23.0,1996-09-01
678,1996,September,New Brunswick,37.0,1996-09-01
707,1996,September,Ontario,73.0,1996-09-01
661,1996,September,British Columbia,64.0,1996-09-01
728,1996,September,Quebec,92.0,1996-09-01
649,1996,September,Alberta,14.0,1996-09-01
719,1996,September,Prince Edward Island,0.0,1996-09-01
685,1996,September,Newfoundland and Labrador,9.0,1996-09-01
744,1996,September,Yukon,3.0,1996-09-01
679,1996,October,Newfoundland and Labrador,2.0,1996-10-01
721,1996,October,Quebec,19.0,1996-10-01
640,1996,October,Alberta,7.0,1996-10-01
700,1996,October,Ontario,11.0,1996-10-01
730,1996,October,Saskatchewan,3.0,1996-10-01
718,1996,October,Prince Edward Island,0.0,1996-10-01
686,1996,October,Nova Scotia,3.0,1996-10-01
663,1996,October,Manitoba,4.0,1996-10-01
651,1996,October,British Columbia,16.0,1996-10-01
3284,1996,October,Canada,78.0,1996-10-01
670,1996,October,New Brunswick,13.0,1996-10-01
3283,1996,November,Canada,5.0,1996-11-01
722,1996,November,Quebec,1.0,1996-11-01
641,1996,November,Alberta,2.0,1996-11-01
671,1996,November,New Brunswick,1.0,1996-11-01
717,1996,November,Prince Edward Island,0.0,1996-11-01
652,1996,November,British Columbia,1.0,1996-11-01
3276,1996,December,Canada,4.0,1996-12-01
710,1996,December,Prince Edward Island,0.0,1996-12-01
653,1996,December,British Columbia,2.0,1996-12-01
642,1996,December,Alberta,2.0,1996-12-01
745,1997,January,Alberta,1.0,1997-01-01
814,1997,January,Prince Edward Island,0.0,1997-01-01
3291,1997,January,Canada,1.0,1997-01-01
759,1997,February,British Columbia,2.0,1997-02-01
3290,1997,February,Canada,2.0,1997-02-01
813,1997,February,Prince Edward Island,0.0,1997-02-01
3294,1997,March,Canada,11.0,1997-03-01
817,1997,March,Prince Edward Island,,1997-03-01
749,1997,March,Alberta,4.0,1997-03-01
760,1997,March,British Columbia,6.0,1997-03-01
789,1997,March,Nova Scotia,1.0,1997-03-01
790,1997,April,Nova Scotia,44.0,1997-04-01
3287,1997,April,Canada,347.0,1997-04-01
804,1997,April,Ontario,136.0,1997-04-01
750,1997,April,Alberta,24.0,1997-04-01
777,1997,April,New Brunswick,16.0,1997-04-01
769,1997,April,Manitoba,8.0,1997-04-01
761,1997,April,British Columbia,86.0,1997-04-01
832,1997,April,Saskatchewan,10.0,1997-04-01
810,1997,April,Prince Edward Island,2.0,1997-04-01
825,1997,April,Quebec,21.0,1997-04-01
770,1997,May,Manitoba,83.0,1997-05-01
783,1997,May,Newfoundland and Labrador,15.0,1997-05-01
3295,1997,May,Canada,877.0,1997-05-01
791,1997,May,Nova Scotia,77.0,1997-05-01
826,1997,May,Quebec,63.0,1997-05-01
839,1997,May,Yukon,23.0,1997-05-01
796,1997,May,Northwest Territories,1.0,1997-05-01
833,1997,May,Saskatchewan,92.0,1997-05-01
762,1997,May,British Columbia,131.0,1997-05-01
778,1997,May,New Brunswick,72.0,1997-05-01
818,1997,May,Prince Edward Island,20.0,1997-05-01
805,1997,May,Ontario,180.0,1997-05-01
751,1997,May,Alberta,120.0,1997-05-01
771,1997,June,Manitoba,87.0,1997-06-01
3293,1997,June,Canada,1315.0,1997-06-01
784,1997,June,Newfoundland and Labrador,25.0,1997-06-01
827,1997,June,Quebec,436.0,1997-06-01
806,1997,June,Ontario,425.0,1997-06-01
834,1997,June,Saskatchewan,52.0,1997-06-01
752,1997,June,Alberta,34.0,1997-06-01
792,1997,June,Nova Scotia,35.0,1997-06-01
779,1997,June,New Brunswick,68.0,1997-06-01
816,1997,June,Prince Edward Island,7.0,1997-06-01
763,1997,June,British Columbia,95.0,1997-06-01
840,1997,June,Yukon,34.0,1997-06-01
797,1997,June,Northwest Territories,17.0,1997-06-01
764,1997,July,British Columbia,172.0,1997-07-01
780,1997,July,New Brunswick,77.0,1997-07-01
3292,1997,July,Canada,1410.0,1997-07-01
785,1997,July,Newfoundland and Labrador,26.0,1997-07-01
793,1997,July,Nova Scotia,108.0,1997-07-01
815,1997,July,Prince Edward Island,2.0,1997-07-01
798,1997,July,Northwest Territories,74.0,1997-07-01
772,1997,July,Manitoba,102.0,1997-07-01
841,1997,July,Yukon,37.0,1997-07-01
753,1997,July,Alberta,148.0,1997-07-01
807,1997,July,Ontario,371.0,1997-07-01
828,1997,July,Quebec,143.0,1997-07-01
835,1997,July,Saskatchewan,150.0,1997-07-01
754,1997,August,Alberta,79.0,1997-08-01
765,1997,August,British Columbia,514.0,1997-08-01
3288,1997,August,Canada,1583.0,1997-08-01
836,1997,August,Saskatchewan,168.0,1997-08-01
781,1997,August,New Brunswick,75.0,1997-08-01
799,1997,August,Northwest Territories,10.0,1997-08-01
808,1997,August,Ontario,423.0,1997-08-01
811,1997,August,Prince Edward Island,2.0,1997-08-01
794,1997,August,Nova Scotia,59.0,1997-08-01
773,1997,August,Manitoba,83.0,1997-08-01
829,1997,August,Quebec,146.0,1997-08-01
786,1997,August,Newfoundland and Labrador,11.0,1997-08-01
842,1997,August,Yukon,13.0,1997-08-01
766,1997,September,British Columbia,162.0,1997-09-01
809,1997,September,Ontario,90.0,1997-09-01
795,1997,September,Nova Scotia,16.0,1997-09-01
830,1997,September,Quebec,22.0,1997-09-01
837,1997,September,Saskatchewan,15.0,1997-09-01
821,1997,September,Prince Edward Island,,1997-09-01
800,1997,September,Northwest Territories,3.0,1997-09-01
787,1997,September,Newfoundland and Labrador,1.0,1997-09-01
774,1997,September,Manitoba,8.0,1997-09-01
843,1997,September,Yukon,3.0,1997-09-01
755,1997,September,Alberta,17.0,1997-09-01
3298,1997,September,Canada,350.0,1997-09-01
782,1997,September,New Brunswick,13.0,1997-09-01
746,1997,October,Alberta,3.0,1997-10-01
768,1997,October,Manitoba,1.0,1997-10-01
3297,1997,October,Canada,149.0,1997-10-01
802,1997,October,Ontario,18.0,1997-10-01
820,1997,October,Prince Edward Island,1.0,1997-10-01
823,1997,October,Quebec,44.0,1997-10-01
788,1997,October,Nova Scotia,30.0,1997-10-01
756,1997,October,British Columbia,3.0,1997-10-01
831,1997,October,Saskatchewan,2.0,1997-10-01
838,1997,October,Yukon,2.0,1997-10-01
775,1997,October,New Brunswick,45.0,1997-10-01
776,1997,November,New Brunswick,2.0,1997-11-01
819,1997,November,Prince Edward Island,,1997-11-01
824,1997,November,Quebec,1.0,1997-11-01
757,1997,November,British Columbia,3.0,1997-11-01
3296,1997,November,Canada,8.0,1997-11-01
747,1997,November,Alberta,1.0,1997-11-01
803,1997,November,Ontario,1.0,1997-11-01
812,1997,December,Prince Edward Island,0.0,1997-12-01
3289,1997,December,Canada,34.0,1997-12-01
758,1997,December,British Columbia,2.0,1997-12-01
748,1997,December,Alberta,32.0,1997-12-01
855,1998,January,British Columbia,3.0,1998-01-01
3304,1998,January,Canada,3.0,1998-01-01
916,1998,January,Prince Edward Island,0.0,1998-01-01
858,1998,February,British Columbia,3.0,1998-02-01
3303,1998,February,Canada,3.0,1998-02-01
915,1998,February,Prince Edward Island,0.0,1998-02-01
890,1998,March,Nova Scotia,20.0,1998-03-01
847,1998,March,Alberta,2.0,1998-03-01
3307,1998,March,Canada,57.0,1998-03-01
859,1998,March,British Columbia,24.0,1998-03-01
919,1998,March,Prince Edward Island,,1998-03-01
905,1998,March,Ontario,11.0,1998-03-01
3300,1998,April,Canada,996.0,1998-04-01
877,1998,April,New Brunswick,67.0,1998-04-01
935,1998,April,Saskatchewan,107.0,1998-04-01
884,1998,April,Newfoundland and Labrador,1.0,1998-04-01
891,1998,April,Nova Scotia,86.0,1998-04-01
869,1998,April,Manitoba,110.0,1998-04-01
860,1998,April,British Columbia,148.0,1998-04-01
942,1998,April,Yukon,2.0,1998-04-01
912,1998,April,Prince Edward Island,1.0,1998-04-01
906,1998,April,Ontario,207.0,1998-04-01
848,1998,April,Alberta,152.0,1998-04-01
927,1998,April,Quebec,115.0,1998-04-01
897,1998,May,Northwest Territories,24.0,1998-05-01
892,1998,May,Nova Scotia,91.0,1998-05-01
928,1998,May,Quebec,279.0,1998-05-01
861,1998,May,British Columbia,259.0,1998-05-01
878,1998,May,New Brunswick,61.0,1998-05-01
885,1998,May,Newfoundland and Labrador,94.0,1998-05-01
907,1998,May,Ontario,463.0,1998-05-01
920,1998,May,Prince Edward Island,14.0,1998-05-01
943,1998,May,Yukon,44.0,1998-05-01
936,1998,May,Saskatchewan,292.0,1998-05-01
3308,1998,May,Canada,2084.0,1998-05-01
849,1998,May,Alberta,412.0,1998-05-01
870,1998,May,Manitoba,51.0,1998-05-01
886,1998,June,Newfoundland and Labrador,55.0,1998-06-01
871,1998,June,Manitoba,52.0,1998-06-01
944,1998,June,Yukon,36.0,1998-06-01
929,1998,June,Quebec,112.0,1998-06-01
850,1998,June,Alberta,273.0,1998-06-01
918,1998,June,Prince Edward Island,2.0,1998-06-01
898,1998,June,Northwest Territories,76.0,1998-06-01
862,1998,June,British Columbia,143.0,1998-06-01
908,1998,June,Ontario,254.0,1998-06-01
3306,1998,June,Canada,1293.0,1998-06-01
937,1998,June,Saskatchewan,216.0,1998-06-01
893,1998,June,Nova Scotia,45.0,1998-06-01
879,1998,June,New Brunswick,29.0,1998-06-01
3305,1998,July,Canada,2555.0,1998-07-01
863,1998,July,British Columbia,674.0,1998-07-01
872,1998,July,Manitoba,136.0,1998-07-01
851,1998,July,Alberta,196.0,1998-07-01
945,1998,July,Yukon,73.0,1998-07-01
930,1998,July,Quebec,106.0,1998-07-01
917,1998,July,Prince Edward Island,3.0,1998-07-01
909,1998,July,Ontario,710.0,1998-07-01
880,1998,July,New Brunswick,44.0,1998-07-01
887,1998,July,Newfoundland and Labrador,11.0,1998-07-01
894,1998,July,Nova Scotia,19.0,1998-07-01
899,1998,July,Northwest Territories,228.0,1998-07-01
938,1998,July,Saskatchewan,355.0,1998-07-01
913,1998,August,Prince Edward Island,6.0,1998-08-01
910,1998,August,Ontario,477.0,1998-08-01
900,1998,August,Northwest Territories,69.0,1998-08-01
864,1998,August,British Columbia,870.0,1998-08-01
881,1998,August,New Brunswick,73.0,1998-08-01
946,1998,August,Yukon,35.0,1998-08-01
895,1998,August,Nova Scotia,61.0,1998-08-01
888,1998,August,Newfoundland and Labrador,18.0,1998-08-01
873,1998,August,Manitoba,106.0,1998-08-01
931,1998,August,Quebec,171.0,1998-08-01
939,1998,August,Saskatchewan,220.0,1998-08-01
3301,1998,August,Canada,2646.0,1998-08-01
852,1998,August,Alberta,540.0,1998-08-01
3311,1998,September,Canada,861.0,1998-09-01
923,1998,September,Prince Edward Island,,1998-09-01
901,1998,September,Northwest Territories,2.0,1998-09-01
947,1998,September,Yukon,7.0,1998-09-01
911,1998,September,Ontario,127.0,1998-09-01
865,1998,September,British Columbia,473.0,1998-09-01
896,1998,September,Nova Scotia,8.0,1998-09-01
940,1998,September,Saskatchewan,71.0,1998-09-01
874,1998,September,Manitoba,50.0,1998-09-01
882,1998,September,New Brunswick,5.0,1998-09-01
853,1998,September,Alberta,84.0,1998-09-01
932,1998,September,Quebec,34.0,1998-09-01
3310,1998,October,Canada,197.0,1998-10-01
889,1998,October,Nova Scotia,16.0,1998-10-01
875,1998,October,New Brunswick,7.0,1998-10-01
925,1998,October,Quebec,29.0,1998-10-01
922,1998,October,Prince Edward Island,1.0,1998-10-01
902,1998,October,Ontario,32.0,1998-10-01
883,1998,October,Newfoundland and Labrador,1.0,1998-10-01
867,1998,October,Manitoba,1.0,1998-10-01
856,1998,October,British Columbia,44.0,1998-10-01
844,1998,October,Alberta,60.0,1998-10-01
933,1998,October,Saskatchewan,6.0,1998-10-01
926,1998,November,Quebec,8.0,1998-11-01
845,1998,November,Alberta,10.0,1998-11-01
3309,1998,November,Canada,33.0,1998-11-01
876,1998,November,New Brunswick,2.0,1998-11-01
921,1998,November,Prince Edward Island,,1998-11-01
857,1998,November,British Columbia,4.0,1998-11-01
903,1998,November,Ontario,8.0,1998-11-01
868,1998,November,Manitoba,1.0,1998-11-01
3302,1998,December,Canada,12.0,1998-12-01
934,1998,December,Saskatchewan,1.0,1998-12-01
904,1998,December,Ontario,2.0,1998-12-01
846,1998,December,Alberta,9.0,1998-12-01
914,1998,December,Prince Edward Island,0.0,1998-12-01
948,1999,January,Alberta,4.0,1999-01-01
3317,1999,January,Canada,6.0,1999-01-01
970,1999,January,Manitoba,2.0,1999-01-01
1024,1999,January,Prince Edward Island,0.0,1999-01-01
962,1999,February,British Columbia,2.0,1999-02-01
3316,1999,February,Canada,3.0,1999-02-01
1012,1999,February,Ontario,1.0,1999-02-01
1023,1999,February,Prince Edward Island,0.0,1999-02-01
952,1999,March,Alberta,6.0,1999-03-01
1027,1999,March,Prince Edward Island,1.0,1999-03-01
3320,1999,March,Canada,50.0,1999-03-01
1043,1999,March,Saskatchewan,1.0,1999-03-01
997,1999,March,Nova Scotia,23.0,1999-03-01
1013,1999,March,Ontario,6.0,1999-03-01
963,1999,March,British Columbia,8.0,1999-03-01
988,1999,March,Newfoundland and Labrador,5.0,1999-03-01
3313,1999,April,Canada,795.0,1999-04-01
1035,1999,April,Quebec,92.0,1999-04-01
1004,1999,April,Northwest Territories,1.0,1999-04-01
964,1999,April,British Columbia,92.0,1999-04-01
1020,1999,April,Prince Edward Island,2.0,1999-04-01
972,1999,April,Manitoba,133.0,1999-04-01
981,1999,April,New Brunswick,55.0,1999-04-01
1044,1999,April,Saskatchewan,51.0,1999-04-01
989,1999,April,Newfoundland and Labrador,10.0,1999-04-01
998,1999,April,Nova Scotia,78.0,1999-04-01
1014,1999,April,Ontario,146.0,1999-04-01
953,1999,April,Alberta,133.0,1999-04-01
1050,1999,April,Yukon,2.0,1999-04-01
1036,1999,May,Quebec,311.0,1999-05-01
1015,1999,May,Ontario,234.0,1999-05-01
1045,1999,May,Saskatchewan,100.0,1999-05-01
1005,1999,May,Northwest Territories,3.0,1999-05-01
954,1999,May,Alberta,121.0,1999-05-01
999,1999,May,Nova Scotia,129.0,1999-05-01
990,1999,May,Newfoundland and Labrador,66.0,1999-05-01
982,1999,May,New Brunswick,180.0,1999-05-01
973,1999,May,Manitoba,104.0,1999-05-01
965,1999,May,British Columbia,83.0,1999-05-01
1028,1999,May,Prince Edward Island,13.0,1999-05-01
1051,1999,May,Yukon,10.0,1999-05-01
3321,1999,May,Canada,1354.0,1999-05-01
3319,1999,June,Canada,1450.0,1999-06-01
991,1999,June,Newfoundland and Labrador,66.0,1999-06-01
1037,1999,June,Quebec,197.0,1999-06-01
1006,1999,June,Northwest Territories,70.0,1999-06-01
1000,1999,June,Nova Scotia,97.0,1999-06-01
1046,1999,June,Saskatchewan,158.0,1999-06-01
983,1999,June,New Brunswick,210.0,1999-06-01
1052,1999,June,Yukon,49.0,1999-06-01
974,1999,June,Manitoba,115.0,1999-06-01
966,1999,June,British Columbia,118.0,1999-06-01
1026,1999,June,Prince Edward Island,3.0,1999-06-01
1016,1999,June,Ontario,154.0,1999-06-01
955,1999,June,Alberta,213.0,1999-06-01
3318,1999,July,Canada,1452.0,1999-07-01
1001,1999,July,Nova Scotia,89.0,1999-07-01
956,1999,July,Alberta,280.0,1999-07-01
1053,1999,July,Yukon,36.0,1999-07-01
1038,1999,July,Quebec,140.0,1999-07-01
1007,1999,July,Northwest Territories,39.0,1999-07-01
992,1999,July,Newfoundland and Labrador,20.0,1999-07-01
975,1999,July,Manitoba,125.0,1999-07-01
1047,1999,July,Saskatchewan,252.0,1999-07-01
967,1999,July,British Columbia,168.0,1999-07-01
1017,1999,July,Ontario,217.0,1999-07-01
1025,1999,July,Prince Edward Island,6.0,1999-07-01
984,1999,July,New Brunswick,80.0,1999-07-01
985,1999,August,New Brunswick,40.0,1999-08-01
1039,1999,August,Quebec,165.0,1999-08-01
993,1999,August,Newfoundland and Labrador,10.0,1999-08-01
1018,1999,August,Ontario,196.0,1999-08-01
1021,1999,August,Prince Edward Island,0.0,1999-08-01
1002,1999,August,Nova Scotia,24.0,1999-08-01
1054,1999,August,Yukon,61.0,1999-08-01
976,1999,August,Manitoba,112.0,1999-08-01
957,1999,August,Alberta,427.0,1999-08-01
1008,1999,August,Northwest Territories,53.0,1999-08-01
968,1999,August,British Columbia,522.0,1999-08-01
3314,1999,August,Canada,1768.0,1999-08-01
1048,1999,August,Saskatchewan,158.0,1999-08-01
1009,1999,September,Northwest Territories,6.0,1999-09-01
1003,1999,September,Nova Scotia,14.0,1999-09-01
1019,1999,September,Ontario,64.0,1999-09-01
